Information listing created by	Miguel F. Vieira
Date	08-Dec-2023 11:14:18
Current work part	C:\Universidade\MComp\Trabalho Computacional\NX Geom Entalhe Pontos\T3\fem1T3.fem
Node name	DESKTOP-A2B5UUA


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh           | Mesh Collector     | Connected Nodes
  218                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 77 102 93
  219                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 74 94 75
  220                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 94 91 92
  221                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 94 74 91
  222                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 92 95 94
  223                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 95 104 105
  224                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 95 92 104
  225                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 75 96 76
  226                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 96 94 95
  227                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 96 75 94
  228                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 105 96 95
  229                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 105 106 96
  230                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 116 97 134
  231                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 97 106 134
  232                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 76 97 116
  233                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 97 96 106
  234                  | CPLSTS3        | 2d_mesh(1)     | Plane Stress XY(1) | 97 76 96
 
------------------------------------------------------------
 
